date_iso,time,impressions,reach,reach_rate_pct,profile_viewers,followers_gained,social,eng_rate_pct,reactions,comments,reposts,saves,sends,format,variant_hint,slug,ugcpost_id,url
2026-01-08,11:31 AM,436,219,50.23,2,0,2,0.46,2,0,0,0,0,text/link,,almost-every-ai-podcast-i-listen-to-has-been,7415067629633040385,https://www.linkedin.com/posts/alexyedi_almost-every-ai-podcast-i-listen-to-has-been-share-7415067629633040385-skq-
2026-01-14,12:16 PM,622,328,52.73,1,0,11,1.77,8,1,0,2,0,text/link,,nyc-tech-events-garysguide-the-1-resource,7417253327849103360,https://www.linkedin.com/posts/alexyedi_nyc-tech-events-garysguide-the-1-resource-share-7417253327849103360-4IRd
2026-04-13,12:58 PM,197,128,64.97,1,0,4,2.03,4,0,0,0,0,document/native(ugcPost),,quantumnetworking-apachespark-aireadydata,7449501201223782400,https://www.linkedin.com/posts/alexyedi_quantumnetworking-apachespark-aireadydata-ugcPost-7449501201223782400-mjbk
2026-04-14,10:40 AM,193,103,53.37,0,0,1,0.52,1,0,0,0,0,text/link,,apachespark-finops-datainfrastructure,7449828855156150272,https://www.linkedin.com/posts/alexyedi_apachespark-finops-datainfrastructure-share-7449828855156150272-fBmZ
2026-04-15,2:14 PM,239,135,56.49,2,0,3,1.26,2,1,0,0,0,text/link,,openclaw-zocomputer-aiagents,7450245293897322499,https://www.linkedin.com/posts/alexyedi_openclaw-zocomputer-aiagents-share-7450245293897322499-cBqT
2026-04-19,5:00 PM,207,101,48.79,0,0,1,0.48,1,0,0,0,0,document/native(ugcPost),,aiagents-gtm-nyctech,7451736497084465152,https://www.linkedin.com/posts/alexyedi_aiagents-gtm-nyctech-ugcPost-7451736497084465152-SJKH
2026-04-20,7:29 AM,135,72,53.33,3,0,0,0.0,0,0,0,0,0,text/link,,forwarddeployedengineer-ainative-gtmbuilder,7451955266465595392,https://www.linkedin.com/posts/alexyedi_forwarddeployedengineer-ainative-gtmbuilder-share-7451955266465595392-5BT6
2026-04-21,2:00 PM,177,110,62.15,1,0,4,2.26,3,1,0,0,0,document/native(ugcPost),,voiceai-agora-aiagents,7452395223453863936,https://www.linkedin.com/posts/alexyedi_voiceai-agora-aiagents-ugcPost-7452395223453863936-AH3f
2026-04-27,7:00 AM,617,418,67.75,5,1,8,1.3,6,0,1,0,1,text/link,,nycai-agenticai-documentarianmode,7454412994769469440,https://www.linkedin.com/posts/alexyedi_nycai-agenticai-documentarianmode-share-7454412994769469440-03ck
2026-04-28,8:00 AM,125,88,70.4,0,0,1,0.8,1,0,0,0,0,text/link,,datadrivennyc-agenticai-productionai,7454760923908485120,https://www.linkedin.com/posts/alexyedi_datadrivennyc-agenticai-productionai-share-7454760923908485120-YE2u
2026-04-29,7:30 AM,225,125,55.56,8,0,4,1.78,3,0,0,1,0,text/link,,langsmith-agenticai-agentevals,7454761431654309890,https://www.linkedin.com/posts/alexyedi_langsmith-agenticai-agentevals-share-7454761431654309890-dL6s
2026-05-05,10:00 AM,3104,2364,76.16,31,1,4,0.13,2,1,0,1,0,text/link,,tonight-brex-social-clubs-gtm-edition,7457292483329335296,https://www.linkedin.com/posts/alexyedi_tonight-brex-social-clubs-gtm-edition-share-7457292483329335296-gZuc
2026-05-06,7:15 AM,125,83,66.4,1,0,0,0.0,0,0,0,0,0,text/link,,wednesday-night-agentics-nyc-presents-use,7457292985265897472,https://www.linkedin.com/posts/alexyedi_wednesday-night-agentics-nyc-presents-use-share-7457292985265897472-ge_5
2026-05-11,3:30 PM,272,153,56.25,1,1,7,2.57,6,1,0,0,0,text/link,,happy-nyc-ai-week-2026-if-youre-looking,7459686333372968960,https://www.linkedin.com/posts/alexyedi_happy-nyc-ai-week-2026-if-youre-looking-share-7459686333372968960-Jrz1
2026-05-12,3:20 PM,236,135,57.2,2,0,7,2.97,7,0,0,0,0,document/native(ugcPost),,great-event-tonight-at-neuehouse-madison,7460046381421043712,https://www.linkedin.com/posts/alexyedi_great-event-tonight-at-neuehouse-madison-ugcPost-7460046381421043712-broF
2026-05-21,5:10 PM,449,197,43.88,4,0,9,2.0,6,0,1,2,0,document/native(ugcPost),,ai-aiinfrastructure-agents,7463335475601162240,https://www.linkedin.com/posts/alexyedi_ai-aiinfrastructure-agents-ugcPost-7463335475601162240-9PV6
2026-05-26,4:42 PM,225,163,72.44,2,0,3,1.33,2,0,0,1,0,document/native(ugcPost),,scaling-enterprise-ai-agents-tonight-at,7465140401331695616,https://www.linkedin.com/posts/alexyedi_scaling-enterprise-ai-agents-tonight-at-ugcPost-7465140401331695616-Nkqp
2026-05-27,3:57 PM,119,86,72.27,1,0,0,0.0,0,0,0,0,0,document/native(ugcPost),,agents-mcp-for-postgres-at-google-explained,7465491410973290496,https://www.linkedin.com/posts/alexyedi_agents-mcp-for-postgres-at-google-explained-ugcPost-7465491410973290496-TyAv
2026-05-27,12:15 PM,134,90,67.16,1,0,0,0.0,0,0,0,0,0,text/link,,last-nights-scaling-enterprise-ai-agents,7465435627837079552,https://www.linkedin.com/posts/alexyedi_last-nights-scaling-enterprise-ai-agents-share-7465435627837079552-rX3n
2026-05-29,2:07 PM,318,217,68.24,1,1,6,1.89,4,2,0,0,0,document/native(ugcPost),,mcp-user-journey-vs-api-features-and,7466188578767929344,https://www.linkedin.com/posts/alexyedi_mcp-user-journey-vs-api-features-and-ugcPost-7466188578767929344-Da0r
2026-06-02,12:30 PM,372,307,82.53,0,0,7,1.88,7,0,0,0,0,document/native(ugcPost),,single-player-vs-swarm,7467427464311447553,https://www.linkedin.com/posts/alexyedi_single-player-vs-swarm-ugcPost-7467427464311447553-igHJ
2026-06-02,6:45 AM,741,588,79.35,0,0,1,0.13,1,0,0,0,0,text/link,,nytechweek-aiagents-gtm,7467420524797706242,https://www.linkedin.com/posts/alexyedi_nytechweek-aiagents-gtm-share-7467420524797706242-G123
2026-06-03,12:37 PM,389,321,82.52,1,1,8,2.06,8,0,0,0,0,document/native(ugcPost),,fin-x-clay-5-qa,7467977893684412416,https://www.linkedin.com/posts/alexyedi_fin-x-clay-5-qa-ugcPost-7467977893684412416-VIpU
2026-06-03,2:00 PM,230,166,72.17,0,0,2,0.87,2,0,0,0,0,document/native(ugcPost),,gtm-single-player-vs-multi-player,7467972134024134657,https://www.linkedin.com/posts/alexyedi_gtm-single-player-vs-multi-player-ugcPost-7467972134024134657-oqqb
2026-06-05,2:52 PM,313,232,74.12,0,0,4,1.28,4,0,0,0,0,text/link,,five-operators-three-maturity-tiers-one,7468736447160975360,https://www.linkedin.com/posts/alexyedi_five-operators-three-maturity-tiers-one-share-7468736447160975360-f2qp
2026-06-08,2:23 PM,313,249,79.55,2,0,7,2.24,6,1,0,0,0,document/native(ugcPost),,2x-productivity-by-the-numbers,7469816373167427584,https://www.linkedin.com/posts/alexyedi_2x-productivity-by-the-numbers-ugcPost-7469816373167427584-F_X5
2026-06-09,4:52 PM,340,185,54.41,2,0,5,1.47,3,1,1,0,0,text/link,,marketingengineering-generativeai-developertools,7470216362670309376,https://www.linkedin.com/posts/alexyedi_marketingengineering-generativeai-developertools-share-7470216362670309376-YNrT
2026-06-10,2:40 PM,466,332,71.24,1,0,7,1.5,5,1,0,1,0,document/native(ugcPost),,marketing-engineer-post-event-recap,7470545411389415425,https://www.linkedin.com/posts/alexyedi_marketing-engineer-post-event-recap-ugcPost-7470545411389415425-P7s6
2026-06-10,4:45 PM,537,281,52.33,5,0,19,3.54,12,5,2,0,0,document/native(ugcPost),,ai-seo-geo-aeo,7470549370657226753,https://www.linkedin.com/posts/alexyedi_ai-seo-geo-aeo-ugcPost-7470549370657226753-cTN1
2026-06-22,9:57 AM,221,145,65.61,1,0,2,0.9,1,1,0,0,0,text/link,,aiagents-nyctech-llmops,7474822841088118785,https://www.linkedin.com/posts/alexyedi_aiagents-nyctech-llmops-share-7474822841088118785-COmH
2026-06-23,2:49 PM,450,124,27.56,1,1,0,0.0,0,0,0,0,0,carousel,B,daytona-ai-builders-the-lineup-carousel-b,7475258699008159744,https://www.linkedin.com/posts/alexyedi_daytona-ai-builders-the-lineup-carousel-b-ugcPost-7475258699008159744-NZgq
2026-06-24,8:20 AM,167,98,58.68,2,0,1,0.6,0,1,0,0,0,text/link,,aiagents-devtools-aiinfra,7475523172855918592,https://www.linkedin.com/posts/alexyedi_aiagents-devtools-aiinfra-share-7475523172855918592-fxoz
2026-06-24,4:44 PM,422,257,60.9,2,0,2,0.47,2,0,0,0,0,text/link,,ai-venturecapital-gtm,7475650116415205377,https://www.linkedin.com/posts/alexyedi_ai-venturecapital-gtm-share-7475650116415205377-cuqO
2026-06-27,8:47 AM,1096,673,61.41,6,0,11,1.0,9,0,0,2,0,text/link,,ai-nyctech-aiagents,7476617215631360001,https://www.linkedin.com/posts/alexyedi_ai-nyctech-aiagents-share-7476617215631360001-Lp6c
2026-06-28,10:00 AM,169,106,62.72,2,0,5,2.96,2,3,0,0,0,document/native(ugcPost),,dont-trust-the-score,7476647921053147136,https://www.linkedin.com/posts/alexyedi_dont-trust-the-score-ugcPost-7476647921053147136-nfBa
2026-06-29,11:49 AM,444,297,66.89,0,0,4,0.9,3,0,1,0,0,text/link,,the-upcoming-week-in-nyc-ai-short-holiday,7477387849085095936,https://www.linkedin.com/posts/alexyedi_the-upcoming-week-in-nyc-ai-short-holiday-share-7477387849085095936-9Cl9
2026-06-30,11:34 AM,125,99,79.2,0,0,2,1.6,2,0,0,0,0,text/link,,a-year-ago-gtm-engineering-wasnt-really,7477746333932474369,https://www.linkedin.com/posts/alexyedi_a-year-ago-gtm-engineering-wasnt-really-share-7477746333932474369-1WDW
2026-07-01,2:30 PM,137,89,64.96,1,0,3,2.19,3,0,0,0,0,text/link,,tonight-in-nyc-ai-events-a-postman-hosted,7478153154212077568,https://www.linkedin.com/posts/alexyedi_tonight-in-nyc-ai-events-a-postman-hosted-share-7478153154212077568-4fcj
2026-07-01,11:15 AM,570,422,74.04,8,0,5,0.88,4,1,0,0,0,document/native(ugcPost),,gtm-eng-nyc-6-30-26,7478104089612972033,https://www.linkedin.com/posts/alexyedi_gtm-eng-nyc-6-30-26-ugcPost-7478104089612972033-ef1A
2026-07-08,12:29 PM,182,112,61.54,1,0,1,0.55,1,0,0,0,0,text/link,,3-great-events-in-nyc-ai-this-week-for-anyone,7480659269059682304,https://www.linkedin.com/posts/alexyedi_3-great-events-in-nyc-ai-this-week-for-anyone-share-7480659269059682304-U6N9
2026-07-14,1:09 PM,167,117,70.06,1,0,0,0.0,0,0,0,0,0,text/link,,one-week-in-nyc-that-happens-to-touch-the,7482843719600254976,https://www.linkedin.com/posts/alexyedi_one-week-in-nyc-that-happens-to-touch-the-share-7482843719600254976-_q-U
2026-07-28,12:46 PM,408,270,66.18,4,0,3,0.74,3,0,0,0,0,text/link,,aiengineering-agenticai-ainativegtm,7487911465602088960,https://www.linkedin.com/posts/alexyedi_aiengineering-agenticai-ainativegtm-share-7487911465602088960-WDN_
2026-07-29,3:19 PM,354,231,65.25,3,0,2,0.56,1,1,0,0,0,text/link,,mcp-aiagents-platformengineering,7488312311338930176,https://www.linkedin.com/posts/alexyedi_mcp-aiagents-platformengineering-share-7488312311338930176-rY7H
2026-07-29,12:08 PM,931,695,74.65,3,3,9,0.97,7,2,0,0,0,document/native(ugcPost),,mcp-release,7488264312982183937,https://www.linkedin.com/posts/alexyedi_mcp-release-ugcPost-7488264312982183937-OImy
2026-08-10,2:53 PM,197,128,64.97,5,0,1,0.51,1,0,0,0,0,text/link,,even-in-new-york-things-get-a-little-slower,7492654279648858112,https://www.linkedin.com/posts/alexyedi_even-in-new-york-things-get-a-little-slower-share-7492654279648858112-odCq
2026-08-11,12:34 PM,196,136,69.39,0,0,1,0.51,1,0,0,0,0,text/link,,jean-haley-spent-a-few-weeks-wiring-a-laptop,7492981773296115713,https://www.linkedin.com/posts/alexyedi_jean-haley-spent-a-few-weeks-wiring-a-laptop-share-7492981773296115713-JWV3
2026-08-12,2:38 PM,350,250,71.43,2,2,10,2.86,7,3,0,0,0,document/native(ugcPost),,gtm-2024-2026-where-the-value-moved,7493375381773688832,https://www.linkedin.com/posts/alexyedi_gtm-2024-2026-where-the-value-moved-ugcPost-7493375381773688832-sy12
2026-08-13,11:35 AM,293,220,75.09,1,0,2,0.68,2,0,0,0,0,document/native(ugcPost),,revgenius-buyside-inversion,7493691637777379328,https://www.linkedin.com/posts/alexyedi_revgenius-buyside-inversion-ugcPost-7493691637777379328-tCrh
2026-08-24,10:13 AM,150,85,56.67,0,0,3,2.0,3,0,0,0,0,text/link,,nycai-agenticnyc,7497657322035437568,https://www.linkedin.com/posts/alexyedi_nycai-agenticnyc-share-7497657322035437568-_RXg
2026-08-25,2:15 PM,1121,787,70.21,6,0,12,1.07,10,2,0,0,0,carousel,,shortlist-carousel,7498080620431007747,https://www.linkedin.com/posts/alexyedi_shortlist-carousel-ugcPost-7498080620431007747-OjUv
