notion_draft,title,format,goal,goal_backfilled,match_confidence,posted,impressions,reach,engagements,ratio_vs_format_median,grade_written,grade_if_confirmed,post_url,export_snapshot
https://app.notion.com/p/35ed3699c2db817c8447c737cd024eb1,Future of Eng Leadership day-of,pre,reach,True,high,2026-05-12,236,135,7,0.61,miss,,https://www.linkedin.com/posts/alexyedi_great-event-tonight-at-neuehouse-madison-ugcPost-7460046381421043712-broF,export 2026-08-27
https://app.notion.com/p/35ed3699c2db819a8f0dde0a7a44b667,UW Late Edition May 11-14,roundup,reach,True,high,2026-05-11,272,153,7,1.0,partial,,https://www.linkedin.com/posts/alexyedi_happy-nyc-ai-week-2026-if-youre-looking-share-7459686333372968960-Jrz1,export 2026-08-27
https://app.notion.com/p/366d3699c2db81c884b1edb26c69d9a2,AI Demo Night NY pre,pre,reach,True,none,,,,,,pending,,,
https://app.notion.com/p/368d3699c2db819b92e8d7107cf221da,AI Demo Night NY post (BYO),post,engagement,True,none,,,,,,pending,,,
https://app.notion.com/p/36bd3699c2db8127b1f4f4fab18891a4,UW May 26-28,roundup,reach,True,none,,,,,,pending,,,
https://app.notion.com/p/36dd3699c2db8142b95ce7658a3d56f0,Eng Now Runs Security (post),post,engagement,True,high,2026-05-27,134,90,0,0.0,miss,,https://www.linkedin.com/posts/alexyedi_last-nights-scaling-enterprise-ai-agents-share-7465435627837079552-rX3n,export 2026-08-27
https://app.notion.com/p/36ed3699c2db817b95a2e1922936f238,Agents+MCP for Postgres (post),post,engagement,True,medium,2026-05-29,318,217,6,1.0,partial,,https://www.linkedin.com/posts/alexyedi_mcp-user-journey-vs-api-features-and-ugcPost-7466188578767929344-Da0r,export 2026-08-27
https://app.notion.com/p/370d3699c2db818cbc6ee00d1ac63b9b,Fin x Clay pre,pre,reach,True,low,2026-06-03,389,321,8,1.01,pending,partial,https://www.linkedin.com/posts/alexyedi_fin-x-clay-5-qa-ugcPost-7467977893684412416-VIpU,export 2026-08-27
https://app.notion.com/p/370d3699c2db81baa426fb03099d611d,UW Jun 2-9 NY Tech Week,roundup,reach,True,high,2026-06-02,741,588,1,2.72,hit,,https://www.linkedin.com/posts/alexyedi_nytechweek-aiagents-gtm-share-7467420524797706242-G123,export 2026-08-27
https://app.notion.com/p/372d3699c2db81c68bf3ebf7512ed848,GTM+AI #5 pre,pre,reach,True,low,2026-06-02,372,307,7,0.96,pending,partial,https://www.linkedin.com/posts/alexyedi_single-player-vs-swarm-ugcPost-7467427464311447553-igHJ,export 2026-08-27
https://app.notion.com/p/376d3699c2db813fa4e1f695079015fe,GTM+AI #5 post (single-player rung),post,engagement,True,low,2026-06-05,313,232,4,0.67,pending,miss,https://www.linkedin.com/posts/alexyedi_five-operators-three-maturity-tiers-one-share-7468736447160975360-f2qp,export 2026-08-27
https://app.notion.com/p/376d3699c2db81729700d139f9c87e4f,2x AI measured (post),post,engagement,True,high,2026-06-08,313,249,7,1.17,partial,,https://www.linkedin.com/posts/alexyedi_2x-productivity-by-the-numbers-ugcPost-7469816373167427584-F_X5,export 2026-08-27
https://app.notion.com/p/37ad3699c2db8187abcaca1c3a4d1e7b,UW Jun 9-11,roundup,reach,True,none,,,,,,pending,,,
https://app.notion.com/p/37bd3699c2db81b39f66e146a1b62c1d,Marketing Engineer recap,post,engagement,True,high,2026-06-10,466,332,7,1.17,partial,,https://www.linkedin.com/posts/alexyedi_marketing-engineer-post-event-recap-ugcPost-7470545411389415425-P7s6,export 2026-08-27
https://app.notion.com/p/37bd3699c2db8147a5baf7310ae5dd82,AI After Five pre,pre,reach,True,high,2026-06-10,537,281,19,1.39,hit,,https://www.linkedin.com/posts/alexyedi_ai-seo-geo-aeo-ugcPost-7470549370657226753-cTN1,export 2026-08-27
https://app.notion.com/p/386d3699c2db8148bc68eccabb7cd7f5,UW Jun 23-27,roundup,reach,True,confirmed,2026-06-22,221,145,2,0.81,partial,,https://www.linkedin.com/posts/alexyedi_aiagents-nyctech-llmops-share-7474822841088118785-COmH,export 2026-08-27
https://app.notion.com/p/389d3699c2db81cc8f84d2d116712e35,Daytona 5 Takeaways (Jun),post,engagement,True,confirmed,2026-06-24,167,98,1,0.17,miss,,https://www.linkedin.com/posts/alexyedi_aiagents-devtools-aiinfra-share-7475523172855918592-fxoz,export 2026-08-27
https://app.notion.com/p/389d3699c2db81d1a1f6dfb3d1eed792,NYC AI Demos #10 pre,pre,reach,True,medium,2026-06-24,422,257,2,1.09,partial,,https://www.linkedin.com/posts/alexyedi_ai-venturecapital-gtm-share-7475650116415205377-cuqO,export 2026-08-27
https://app.notion.com/p/38ad3699c2db81e690bfcb6b304c3462,NYC AI Demos #10 recap,post,engagement,False,confirmed,2026-06-27,1096,673,11,1.83,hit,,https://www.linkedin.com/posts/alexyedi_ai-nyctech-aiagents-share-7476617215631360001-Lp6c,export 2026-08-27
https://app.notion.com/p/38dd3699c2db819eb503df9a95bec323,UW Jun 30/Jul 1,roundup,hybrid,False,high,2026-06-29,444,297,4,1.48,hit,,https://www.linkedin.com/posts/alexyedi_the-upcoming-week-in-nyc-ai-short-holiday-share-7477387849085095936-9Cl9,export 2026-08-27
https://app.notion.com/p/390d3699c2db811f93c1fb884b099033,GTM Eng NYC six teams,post,engagement,False,high,2026-07-01,570,422,5,0.83,partial,,https://www.linkedin.com/posts/alexyedi_gtm-eng-nyc-6-30-26-ugcPost-7478104089612972033-ef1A,export 2026-08-27
https://app.notion.com/p/39ad3699c2db81bfad18e8241a1f2a3b,UW week of Jul 14,roundup,reach,False,high,2026-07-14,167,117,0,0.61,miss,,https://www.linkedin.com/posts/alexyedi_one-week-in-nyc-that-happens-to-touch-the-share-7482843719600254976-_q-U,export 2026-08-27
https://app.notion.com/p/3abd3699c2db8163b24ad7567246d38e,MCP Release Party pre,pre,reach,False,none,,,,,,pending,,,
https://app.notion.com/p/3abd3699c2db81f1b781dc26f936de66,UW MCP/Own/GTM Symposium,roundup,reach,False,confirmed,2026-07-28,408,270,3,1.5,hit,,https://www.linkedin.com/posts/alexyedi_aiengineering-agenticai-ainativegtm-share-7487911465602088960-WDN_,export 2026-08-27
https://app.notion.com/p/3acd3699c2db811ba987f6b3ca82fadc,MCP Datadog deep-cut,post,engagement,False,medium,2026-07-29,354,231,2,0.33,miss,,https://www.linkedin.com/posts/alexyedi_mcp-aiagents-platformengineering-share-7488312311338930176-rY7H,export 2026-08-27
https://app.notion.com/p/3acd3699c2db81fc89c3c2da0368db60,MCP Release Party post,post,reach,False,high,2026-07-29,931,695,9,2.93,hit,,https://www.linkedin.com/posts/alexyedi_mcp-release-ugcPost-7488264312982183937-OImy,export 2026-08-27
