date,time,impressions,reach,social,eng_rate_pct,format,variant,bucket,confidence,phase,event,basis,slug,post_url
2026-01-08,11:31 AM,436,219,2,,text/link,,verify,low,NEEDS-VERIFY,"? organic (pre-pipeline, Jan)",no event; standalone likely,almost-every-ai-podcast-i-listen-to-has-been,https://www.linkedin.com/posts/alexyedi_almost-every-ai-podcast-i-listen-to-has-been-share-7415067629633040385-skq-
2026-01-14,12:16 PM,622,328,11,,text/link,,verify,low,NEEDS-VERIFY,"? resource post (pre-pipeline, Jan)",no event; standalone likely,nyc-tech-events-garysguide-the-1-resource,https://www.linkedin.com/posts/alexyedi_nyc-tech-events-garysguide-the-1-resource-share-7417253327849103360-4IRd
2026-04-13,12:58 PM,197,128,4,,document/native,,roundup,medium,roundup,ROUNDUP — week of Apr 13 (multi-topic),multi-hashtag,quantumnetworking-apachespark-aireadydata,https://www.linkedin.com/posts/alexyedi_quantumnetworking-apachespark-aireadydata-ugcPost-7449501201223782400-mjbk
2026-04-14,10:40 AM,193,103,1,,text/link,,event,high,pre/day-of,Apache Spark NYC Meetup (Apr 14),date+topic,apachespark-finops-datainfrastructure,https://www.linkedin.com/posts/alexyedi_apachespark-finops-datainfrastructure-share-7449828855156150272-fBmZ
2026-04-15,2:14 PM,239,135,3,,text/link,,event,medium,pre/day-of,OpenClaw NYC Meetup,ov1/1 dd0,openclaw-zocomputer-aiagents,https://www.linkedin.com/posts/alexyedi_openclaw-zocomputer-aiagents-share-7450245293897322499-cBqT
2026-04-19,5:00 PM,207,101,1,,document/native,,roundup,medium,roundup,"ROUNDUP — week of Apr 20 (Upcoming Week draft, Apr 19)",date=roundup-draft,aiagents-gtm-nyctech,https://www.linkedin.com/posts/alexyedi_aiagents-gtm-nyctech-ugcPost-7451736497084465152-SJKH
2026-04-20,7:29 AM,135,72,0,,text/link,,event,high,pre/day-of,The Forward Deployed Engineer (Apr 20),date+topic,forwarddeployedengineer-ainative-gtmbuilder,https://www.linkedin.com/posts/alexyedi_forwarddeployedengineer-ainative-gtmbuilder-share-7451955266465595392-5BT6
2026-04-21,2:00 PM,177,110,4,,document/native,,event,medium,pre/day-of,NYC Voice AI Meetup hosted by Agora,ov1/1 dd0,voiceai-agora-aiagents,https://www.linkedin.com/posts/alexyedi_voiceai-agora-aiagents-ugcPost-7452395223453863936-AH3f
2026-04-27,7:00 AM,617,418,8,,text/link,,verify,low,NEEDS-VERIFY,? Shortlist #4 (Apr 27) OR standalone,date=Shortlist#4,nycai-agenticai-documentarianmode,https://www.linkedin.com/posts/alexyedi_nycai-agenticai-documentarianmode-share-7454412994769469440-03ck
2026-04-28,8:00 AM,125,88,1,,text/link,,event,high,pre/day-of,Data Driven NYC #121 (Apr 28),date+topic,datadrivennyc-agenticai-productionai,https://www.linkedin.com/posts/alexyedi_datadrivennyc-agenticai-productionai-share-7454760923908485120-YE2u
2026-04-29,7:30 AM,225,125,4,,text/link,,event,high,pre/day-of,Building Better Agents — LangChain (Apr 29),date+topic,langsmith-agenticai-agentevals,https://www.linkedin.com/posts/alexyedi_langsmith-agenticai-agentevals-share-7454761431654309890-dL6s
2026-05-05,10:00 AM,3104,2364,4,,text/link,,event,high,pre/day-of,Brex Social Club GTM,ov2/3 dd0,tonight-brex-social-clubs-gtm-edition,https://www.linkedin.com/posts/alexyedi_tonight-brex-social-clubs-gtm-edition-share-7457292483329335296-gZuc
2026-05-06,7:15 AM,125,83,0,,text/link,,event,high,pre/day-of,Agentics: Use AI coding agents effectively,ov2/2 dd0,wednesday-night-agentics-nyc-presents-use,https://www.linkedin.com/posts/alexyedi_wednesday-night-agentics-nyc-presents-use-share-7457292985265897472-ge_5
2026-05-11,3:30 PM,272,153,7,,text/link,,roundup,high,roundup,ROUNDUP (multi-event weekly),roundup-slug,happy-nyc-ai-week-2026-if-youre-looking,https://www.linkedin.com/posts/alexyedi_happy-nyc-ai-week-2026-if-youre-looking-share-7459686333372968960-Jrz1
2026-05-12,3:20 PM,236,135,7,,document/native,,event,high,pre/day-of,The Future of Engineering Leadership (May 12),venue+date+published-draft,great-event-tonight-at-neuehouse-madison,https://www.linkedin.com/posts/alexyedi_great-event-tonight-at-neuehouse-madison-ugcPost-7460046381421043712-broF
2026-05-21,5:10 PM,449,197,9,,document/native,,event,medium,pre/day-of,Ray Dev Day - New York (May 21),date+attended(validated),ai-aiinfrastructure-agents,https://www.linkedin.com/posts/alexyedi_ai-aiinfrastructure-agents-ugcPost-7463335475601162240-9PV6
2026-05-26,4:42 PM,225,163,3,,document/native,,event,high,pre/day-of,Scaling Enterprise AI Agents,ov2/3 dd0,scaling-enterprise-ai-agents-tonight-at,https://www.linkedin.com/posts/alexyedi_scaling-enterprise-ai-agents-tonight-at-ugcPost-7465140401331695616-Nkqp
2026-05-27,3:57 PM,119,86,0,,document/native,,event,high,pre/day-of,Agents and MCP for Postgres,ov2/3 dd0,agents-mcp-for-postgres-at-google-explained,https://www.linkedin.com/posts/alexyedi_agents-mcp-for-postgres-at-google-explained-ugcPost-7465491410973290496-TyAv
2026-05-27,12:15 PM,134,90,0,,text/link,,event,high,post_event,Scaling Enterprise AI Agents,ov2/3 dd1,last-nights-scaling-enterprise-ai-agents,https://www.linkedin.com/posts/alexyedi_last-nights-scaling-enterprise-ai-agents-share-7465435627837079552-rX3n
2026-05-29,2:07 PM,318,217,6,,document/native,,event,medium,post_event,Agents and MCP for Postgres,ov1/1 dd2,mcp-user-journey-vs-api-features-and,https://www.linkedin.com/posts/alexyedi_mcp-user-journey-vs-api-features-and-ugcPost-7466188578767929344-Da0r
2026-06-02,6:45 AM,741,588,1,,text/link,,roundup,high,roundup,ROUNDUP — NY Tech Week (multi-event),theme+date,nytechweek-aiagents-gtm,https://www.linkedin.com/posts/alexyedi_nytechweek-aiagents-gtm-share-7467420524797706242-G123
2026-06-02,12:30 PM,372,307,7,,document/native,,standalone,medium,standalone,STANDALONE thesis (NY Tech Week seed),thesis; adj. GTM+AI#5,single-player-vs-swarm,https://www.linkedin.com/posts/alexyedi_single-player-vs-swarm-ugcPost-7467427464311447553-igHJ
2026-06-03,12:37 PM,389,321,8,,document/native,,event,high,post_event,Fin x Clay: Scaling CX in the AI Era,ov2/2 dd1,fin-x-clay-5-qa,https://www.linkedin.com/posts/alexyedi_fin-x-clay-5-qa-ugcPost-7467977893684412416-VIpU
2026-06-03,2:00 PM,230,166,2,,document/native,,event,medium,pre/day-of,Building Multi-Agent Systems,ov1/1 dd0,gtm-single-player-vs-multi-player,https://www.linkedin.com/posts/alexyedi_gtm-single-player-vs-multi-player-ugcPost-7467972134024134657-oqqb
2026-06-05,2:52 PM,313,232,4,,text/link,,standalone,medium,standalone,STANDALONE synthesis (adj. GTM+AI#5 / 2x AI),synthesis-post,five-operators-three-maturity-tiers-one,https://www.linkedin.com/posts/alexyedi_five-operators-three-maturity-tiers-one-share-7468736447160975360-f2qp
2026-06-08,2:23 PM,313,249,7,,document/native,,event,high,post_event,2x AI: We gave everyone the tools (Jun 4),date+topic,2x-productivity-by-the-numbers,https://www.linkedin.com/posts/alexyedi_2x-productivity-by-the-numbers-ugcPost-7469816373167427584-F_X5
2026-06-09,4:52 PM,340,185,5,,text/link,,event,high,pre/day-of,Marketing Engineer Meetup (Jun 9),date+topic,marketingengineering-generativeai-developertools,https://www.linkedin.com/posts/alexyedi_marketingengineering-generativeai-developertools-share-7470216362670309376-YNrT
2026-06-10,2:40 PM,466,332,7,,document/native,,event,high,post_event,Marketing Engineer Meetup,ov2/2 dd1,marketing-engineer-post-event-recap,https://www.linkedin.com/posts/alexyedi_marketing-engineer-post-event-recap-ugcPost-7470545411389415425-P7s6
2026-06-10,4:45 PM,537,281,19,,document/native,,event,high,day-of/post,AI After Five: AI Search Optimization (Jun 10),date+topic+published-draft,ai-seo-geo-aeo,https://www.linkedin.com/posts/alexyedi_ai-seo-geo-aeo-ugcPost-7470549370657226753-cTN1
2026-06-22,9:57 AM,221,145,2,,text/link,,verify,low,NEEDS-VERIFY,? no event on Jun 22 — standalone?,no same-day event,aiagents-nyctech-llmops,https://www.linkedin.com/posts/alexyedi_aiagents-nyctech-llmops-share-7474822841088118785-COmH
2026-06-23,2:49 PM,450,124,0,,carousel,B,event,high,pre/day-of,Daytona AI Builders Oracle Datadog,ov1/2 dd0,daytona-ai-builders-the-lineup-carousel-b,https://www.linkedin.com/posts/alexyedi_daytona-ai-builders-the-lineup-carousel-b-ugcPost-7475258699008159744-NZgq
2026-06-24,4:44 PM,422,257,2,,text/link,,standalone,medium,standalone,STANDALONE thesis (VC/GTM),thesis-post,ai-venturecapital-gtm,https://www.linkedin.com/posts/alexyedi_ai-venturecapital-gtm-share-7475650116415205377-cuqO
2026-06-24,8:20 AM,167,98,1,,text/link,,verify,low,NEEDS-VERIFY,? Daytona (Jun 23) OR standalone,adj. Daytona,aiagents-devtools-aiinfra,https://www.linkedin.com/posts/alexyedi_aiagents-devtools-aiinfra-share-7475523172855918592-fxoz
2026-06-27,8:47 AM,1096,673,11,,text/link,,verify,low,NEEDS-VERIFY,? Agents Behaving Badly (Jun 25) OR standalone,top reach; adj.,ai-nyctech-aiagents,https://www.linkedin.com/posts/alexyedi_ai-nyctech-aiagents-share-7476617215631360001-Lp6c
2026-06-28,10:00 AM,169,106,5,,document/native,,standalone,high,standalone,STANDALONE thesis (evals/measurement),thesis-post,dont-trust-the-score,https://www.linkedin.com/posts/alexyedi_dont-trust-the-score-ugcPost-7476647921053147136-nfBa
2026-06-29,11:49 AM,444,297,4,,text/link,,roundup,high,roundup,ROUNDUP (multi-event weekly),roundup-slug,the-upcoming-week-in-nyc-ai-short-holiday,https://www.linkedin.com/posts/alexyedi_the-upcoming-week-in-nyc-ai-short-holiday-share-7477387849085095936-9Cl9
2026-06-30,11:34 AM,125,99,2,,text/link,,standalone,medium,standalone,STANDALONE thesis (reflective),thesis-post,a-year-ago-gtm-engineering-wasnt-really,https://www.linkedin.com/posts/alexyedi_a-year-ago-gtm-engineering-wasnt-really-share-7477746333932474369-1WDW
2026-07-01,2:30 PM,137,89,3,,text/link,,event,high,pre/day-of,Agents & APIs NYC Developer Meetup (Jul 1),host=Postman+date,tonight-in-nyc-ai-events-a-postman-hosted,https://www.linkedin.com/posts/alexyedi_tonight-in-nyc-ai-events-a-postman-hosted-share-7478153154212077568-4fcj
2026-07-01,11:15 AM,570,422,5,,document/native,,event,high,post_event,GTM Eng NYC: Coding Agents,ov1/3 dd1,gtm-eng-nyc-6-30-26,https://www.linkedin.com/posts/alexyedi_gtm-eng-nyc-6-30-26-ugcPost-7478104089612972033-ef1A
2026-07-08,12:29 PM,182,112,1,,text/link,,roundup,high,roundup,ROUNDUP (multi-event weekly),roundup-slug,3-great-events-in-nyc-ai-this-week-for-anyone,https://www.linkedin.com/posts/alexyedi_3-great-events-in-nyc-ai-this-week-for-anyone-share-7480659269059682304-U6N9
2026-07-14,1:09 PM,167,117,0,,text/link,,roundup,high,roundup,ROUNDUP (multi-event weekly),roundup-slug,one-week-in-nyc-that-happens-to-touch-the,https://www.linkedin.com/posts/alexyedi_one-week-in-nyc-that-happens-to-touch-the-share-7482843719600254976-_q-U
2026-07-28,12:46 PM,408,270,3,,text/link,,verify,low,NEEDS-VERIFY,? MCP Release Party (Jul 28) OR standalone,date=MCP pre,aiengineering-agenticai-ainativegtm,https://www.linkedin.com/posts/alexyedi_aiengineering-agenticai-ainativegtm-share-7487911465602088960-WDN_
2026-07-29,3:19 PM,354,231,2,,text/link,,event,medium,post_event,MCP Release Party,ov1/1 dd1,mcp-aiagents-platformengineering,https://www.linkedin.com/posts/alexyedi_mcp-aiagents-platformengineering-share-7488312311338930176-rY7H
2026-07-29,12:08 PM,931,695,9,,document/native,,event,high,post_event,MCP Release Party,ov2/2 dd1,mcp-release,https://www.linkedin.com/posts/alexyedi_mcp-release-ugcPost-7488264312982183937-OImy
2026-08-10,2:53 PM,197,128,1,,text/link,,standalone,high,standalone,STANDALONE thesis (reflective),thesis-post,even-in-new-york-things-get-a-little-slower,https://www.linkedin.com/posts/alexyedi_even-in-new-york-things-get-a-little-slower-share-7492654279648858112-odCq
2026-08-11,12:34 PM,196,136,1,,text/link,,standalone,medium,standalone,STANDALONE story (person feature),story-post,jean-haley-spent-a-few-weeks-wiring-a-laptop,https://www.linkedin.com/posts/alexyedi_jean-haley-spent-a-few-weeks-wiring-a-laptop-share-7492981773296115713-JWV3
2026-08-12,2:38 PM,350,250,10,,document/native,,standalone,high,standalone,STANDALONE thesis (value migration carousel),thesis-post,gtm-2024-2026-where-the-value-moved,https://www.linkedin.com/posts/alexyedi_gtm-2024-2026-where-the-value-moved-ugcPost-7493375381773688832-sy12
2026-08-13,11:35 AM,293,220,2,,document/native,,event,medium,post_event,RevGenius IRL From Hype to Revenue,ov1/1 dd1,revgenius-buyside-inversion,https://www.linkedin.com/posts/alexyedi_revgenius-buyside-inversion-ugcPost-7493691637777379328-tCrh
2026-08-24,10:13 AM,150,85,3,,text/link,,verify,low,NEEDS-VERIFY,? Shortlist Aug Showcase (Aug 24) OR roundup,date=Shortlist/roundup,nycai-agenticnyc,https://www.linkedin.com/posts/alexyedi_nycai-agenticnyc-share-7497657322035437568-_RXg
2026-08-25,2:15 PM,1121,787,12,,carousel,,event,medium,post_event,The Shortlist August Founder Showcase,ov1/1 dd1,shortlist-carousel,https://www.linkedin.com/posts/alexyedi_shortlist-carousel-ugcPost-7498080620431007747-OjUv
